NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
* Assess the efficacy of this preparation on pain,clinical parameter and the level of il-33 in saliva.,"","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Be examined by the investigator,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
"* Compare the outcome of new preparation with the gold standard treatment (corticosteroids).\"",no,Oral Lichen Planus,DRUG: Triamcinolone|DRUG: Turmeric paste,"Pain intensity, measured by Visual Analog Scale (VAS) 0 = no pain 10= severe pain 0= no pain 10= pain severe pain, 4 weeks","clinical sign score, measured by Thongprasom from score 0 to 5 0= only white lesion 5=area of erosion more than 2 cm, Baseline , 2nd week and 4th week|IL-33 level in saliva, by ELISA, base line and 4th week","",Cairo University,"",ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,OMED2:5:1,2019-05-01,2020-05-01,2020-06-01,2019-03-18,"",2019-03-18,"",,,,,"",""
* Complete several questionnaires,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Is BUFY01 non-inferior to SVS20 in terms of signs of DED?,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Is BUFY01 non-inferior to SVS20 in terms of symptoms of DED?,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Return unused study treatment.,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Use the allocated study treatment everyday until the end of the study (during 3 months),"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Visit the trial site at 4 different timepoints,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
All participants will complete the same tasks at subsequent visits (post-treatment,on-year follow-up) and it is hoped that teens who have used the tvns device for the 30-day intervention period will show improved responses. for the rate of change,we will use percentile ranking vis-a-vis national norms.,30 Days|Improved Reports of Social Isolation and Loneliness,Each participating teen will complete questions regarding feelings of loneliness and social isolation on the Qualtrics survey while in the lab at each visit. We are using the 8-item UCLA loneliness scale to measure this in each teen.,"","","","","","","","","","","","","","","","","",,"",,,,,"",""
Current face-to-face prevention approaches are of limited effectiveness,rely on extensive resources,and are at odds with adolescents' digital preferences. We will evaluate two unconventional but promising interventions delivered to 13- to 17-year-olds: transcutaneous vagus nerve stimulation to target emotion dysregulation,and a peer-support smartphone app to combat social isolation. If effective,"these digitally-delivered interventions could reach far more adolescents at far lower cost than current approaches.\"",NO,Self Harm|Suicidal Ideation,DEVICE: tVns Program|OTHER: Phone App Program|COMBINATION_PRODUCT: tVNS and Phone App Program|OTHER: Enhanced Treatment as Usual,"Change from Baseline in Non-Suicidal Self Injury Behaviors at 30 Days, Teens will be assessed at the baseline lab visit for emotion regulation and self-harm through questions on the Qualtrics survey (measures are Difficulties in Emotion Regulation Scale and the Youth Self Report). They will also complete a face-to-face interview with a trained staff member to assess their level of non-suicidal self-injury, suicide ideation, and suicide attempts. In addition, we will collect measures of psychophysiological reactivity (heart rate variability, cardiac pre-ejection period) to emotional challenge.","","","","","","","","","","","","","",,"",,,,,"",""
For the rate of change,we will use percentile ranking vis-a-vis national norms.,30 Days|Improved Results from Participant's Typical Treatment,Teens who are not placed in one of the active intervention groups will still be able to access our phone app which allows them to play a non-cooperative game on their own,and they are able to text with our team members during regular business hours. The added support will hopefully help their current treatment plan to improve their thoughts and behaviors in regard to suicidal ideation and self-harm.,"","","","","","","","","","","","","","","","","",,"",,,,,"",""
NCT01126879,genistein in treating patients with prostate cancer,https://clinicaltrials.gov/study/NCT01126879,"",TERMINATED,RATIONALE: Genistein may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.,"","","","","","","","","","","","","","","","",,"",,,,,"",""
NCT01402479,an open-labeled trial of ramipril in patients with migraine,https://clinicaltrials.gov/study/NCT01402479,"",COMPLETED,Physiology of migraine involving renin-angiotensin systems (RAS) has been implicated. Ramipril is a broadly-used angiotensin-converting enzyme inhibitor. The investigators attempt to test the efficacy of ramipril on the prophylaxis of migraine attacks.,NO,Migraine With Hypertension,DRUG: Ramipril,"headache frequency, headache days, 12 week","","",Seoul National University Hospital,"",ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,0408-131-005,2004-10-01,2005-07,2005-07-01,2011-07-26,,2011-08-08,"Seoul National University Hospital, Seoul, 110-744, Korea, Republic of",""
NCT01511679,brain-imaging and adolescent neuroscience consortium,https://clinicaltrials.gov/study/NCT01511679,BANC,WITHDRAWN,This is a multi-site study of adolescents 12-21 years-of-age to evaluate the long and shorter-term effect of adolescent alcohol use on the developing brain.,NO,Alcohol Abuse,"","","","",Boston Children's Hospital,Massachusetts General Hospital|Mclean Hospital|Massachusetts Institute of Technology,ALL,"CHILD, ADULT","",0,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,BANC RFA-AA-12-006,2012-09-01,2017-03,2017-09-01,2012-01-19,,2013-01-03,"McLean Hospital, Belmont, Massachusetts, 02478, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Boston University School of Medicine, Boston, Massachusetts, 02118, United States|Massachusetts Institute of Technology, Cambridge, Massachusetts, 02139, United States",""
NCT02385279,study comparing the mistent ses versus the xience ees stent,https://clinicaltrials.gov/study/NCT02385279,DESSOLVE III,COMPLETED,The primary objective of this study is to compare the performance of MISTENT to that of XIENCE in an all-comers patient population with symptomatic ischemic heart disease. The patients will be followed through 3 years for major clinical events.,YES,Coronary Stenosis,DEVICE: MiStent|DEVICE: XIENCE EES,"Number of Participants With Occurrence of a Device Oriented Composite Endpoint (DOCE), DOCE is a composite of clinical endpoint of cardiac death, myocardial infarction not clearly attributable to a non-target vessel and clinically-indicated target lesion revascularization., 12 months postprocedure","POCE, POCE defined as all-cause death, any Myocardial Infarction (MI), or any revascularization, At 12 months|MACE, MACE defined as all-cause death, any MI, or any Target Vessel Revascularization (TVR), At 12 months|Target Vessel Failure (TVF), Target Vessel Failure (TVF) defined as cardiac death, TV MI, or clinically indicated TVR, At 12 months|All-cause Death, All-cause death, At 12 months|Myocardial Infarction, Any Myocardial infarction, At 12 months|Any Revascularization, Any revascularization, At 12 months|Stent Thrombosis, Definite or probably stent thrombosis according to ARC, At 12 months","",ECRI bv,Micell Technologies|Stentys,ALL,"ADULT, OLDER_ADULT","",1398,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,ECRI-005,2015-03-20,2017-01-31,2021-02-04,2015-03-11,2023-05-08,2023-05-08,"Research Center Corbeil, Corbeil, France|Research Center Nimes, Nimes, France|Research Center Poitiers, Poitiers, France|Research Center Jena, Jena, Germany|Research Center Leipzig, Leipzig, Germany|Research Center Munster, Munster, Germany|Research Center Ulm, Ulm, Germany|Research Center Wiesbaden, Wiesbaden, Germany|Research Center Amersfoort, Amersfoort, Netherlands|Research Center Amsterdam, Amsterdam, Netherlands|Tergooi, Blaricum, Netherlands|Research Center Emmen, Emmen, Netherlands|Research Center Leeuwarden, Leeuwarden, Netherlands|Research Center Nijmegen, Nijmegen, Netherlands|Research Center Venlo, Venlo, Netherlands|Research Center Belchatow, Belchatow, Poland|Research Center Bielsko-Biala, Bielsko-Biala, Poland|Research center Chrzanow, Chrzanow, Poland|Research Center Tychy, Tychy, Poland|Research Center Zgierz, Zgierz, Poland","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/79/NCT02385279/Prot_SAP_000.pdf"
NCT03877679,the effect of topical curcumin versus topical corticosteroid on management of oral lichen planus patients,https://clinicaltrials.gov/study/NCT03877679,"",UNKNOWN,Introduce a new anti-inflammatory and antioxidant paste preparation (curcumin paste) in the management of Oral lichen planus.,"","","","","","","","","","","","","","","","",,"",,,,,"",""
NCT03960879,dna methylation for screening uterine cervical lesions,https://clinicaltrials.gov/study/NCT03960879,"",UNKNOWN,"The primary objective of this study is to compare the testing of DNA methylation, high-risk HPV subtypes, and cytology with the definite histological results for uterine cervical lesions in a prospective cohort study.","","","","","","","","","","","","","","","","",,"",,,,,"",""
NCT05013879,kinesiotape for edema after bilateral total knee arthroplasty,https://clinicaltrials.gov/study/NCT05013879,"",COMPLETED,The purpose of this study is to determine if kinesiotaping for edema management will decrease post-operative edema in patients with bilateral total knee arthroplasty. The leg receiving kinesiotaping during inpatient rehabilitation may have decreased edema and pain and improved movement and function when compared to the leg not receiving kinesiotape.,NO,"Arthroplasty Complications|Arthroplasty, Replacement, Knee",DEVICE: Kinesio(R)Tape for edema control,"Change from baseline and during 1-2-day time intervals of circumferences of both knees and lower extremities, Bilateral circumferences, in centimeters, at the following points: 10 cm above the superior pole of the patella; middle of the knee joint; calf circumference at the broadest part of the calf and at 3 inches below the fibular head landmark; figure of eight method for foot and ankle circumference - a measurement from the lateral malleolus to the navicular tuberosity, under the plantar aspect of the foot towards the tuberosity of the fifth metatarsal, around to the medial malleolus, and posterior to the leg to return to the lateral malleolus., During inpatient rehabilitation stay for each subject: at baseline (day 0), day 1, day 2, and every other day until day 8","Change from baseline and day-to-day changes of bilateral knee pain on numerical pain rating scale, Patient self-report: Pain rating for each leg on a integer scale of 0 (no pain) to 10 (worst pain imaginable), During inpatient rehabilitation stay for each subject: at baseline (day 0), day 1, day 2, and every other day until day 8|Change from baseline and during 1-2-day time intervals for bilateral knee range of motion, Physical therapist's measurement of active and active assistive knee range of motion (degrees) for flexion and extension using a standard goniometer, During inpatient rehabilitation stay for each subject: at baseline (day 0), day 1, day 2, and every other day until day 8|Change from baseline to Day 4 to Discharge Day for selected parts of the Knee Injury and Osteoarthritis Outcome Score (KOOS) self-report, Patient self-report using the KOOS sections relating to pain, stiffness, activities of daily living, At start of study, 4 days after start of study, and day 8|Change from baseline and during 1-2-day time intervals for Timed Up-and-Go Test, Time (sec) to rise from a seated position, walk 10 m, turn, walk back to seat, and sit down. Patient will use appropriate assistive device and have appropriate guarding by a physical therapist., During inpatient rehabilitation stay for each subject: at baseline (day 0), day 1, day 2, and every other day until day 8","",Montefiore Medical Center,Burke Rehabilitation Hospital,ALL,"ADULT, OLDER_ADULT","",65,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-13203,2021-10-18,2023-11-24,2023-11-24,2021-08-19,,2024-02-23,"Burke Rehabilitation Hospital, White Plains, New York, 10605, United States",""
NCT05600179,octa in epivascular glia after dex implant,https://clinicaltrials.gov/study/NCT05600179,"",COMPLETED,"The aim of this prospective study was for the first time, to analyze specific morphologic features in diabetic eyes with macular oedema, such as changes of the foveal avascular zone and the presence of epivascular glia, and see how they would change after dexamethasone intravitreal implant",NO,Diabetic Retinopathy,DRUG: Dexamethasone intravitreal implant,"Changes in epivascular glia after Dexamethasone implant in patients with diabetic retinopathy and inflammatory macular edema, up to 6 months","","",Federico II University,"",ALL,"ADULT, OLDER_ADULT","",38,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,0110/2022,2021-01-01,2022-09-30,2022-09-30,2022-10-31,,2022-12-08,"\"University of Naples \"\"Federico II\"\"",Naples
NCT05602779,leverage noninvasive transcutaneous vagus nerve stimulation to reduce suicidal behaviors in vulnerable adolescents,https://clinicaltrials.gov/study/NCT05602779,"",RECRUITING,"Suicidal thoughts, suicide attempts, and suicide are increasingly common in adolescence.","","","","","","","","","","","","","","","","",,"",,,,,"",""
NCT05865379,efficacy and safety of bufy01 versus svs20 in the treatment of dry eye disease,https://clinicaltrials.gov/study/NCT05865379,BUSTON-01,NOT_YET_RECRUITING,The goal of this interventional investigation is to compare BUFY01 with SVS20 in the treatment of patients with dry eye disease. The main questions it aims to answer are:,"","","","","","","","","","","","","","","","",,"",,,,,"",""
"PURPOSE: This randomized phase II trial is studying how well genistein works in treating patients with prostate cancer.\"",yes,Adenocarcinoma of the Prostate|Recurrent Prostate Cancer|Stage I Prostate Cancer|Stage II Prostate Cancer|Stage III Prostate Cancer,DIETARY_SUPPLEMENT: genistein|OTHER: placebo|PROCEDURE: therapeutic conventional surgery,"Number of Circulating Prostate Cells (CPCs) in the Blood as Determined by qRT-PCR for PSA on RNA Extracted From PBMNCs, Blood will be collected to analyze the number of CPC's at screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery., At screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery","Natural History of Circulating Prostate Cells (CPCs) in a Cohort of Subjects Prior to and Post Radical Prostatectomy, Blood will be drawn to analyze the natural history of circulating prostate cells (CPCs) in a cohort of subjects at baseline and 1 and 12 months after surgery., At baseline, 1 and 12 months after surgery|Measure the Effect of Genistein on Select Gene and Protein Expressions in Prostate Tissue, At baseline and time of surgery, tissue will be collected to measure the effect of genistein on select gene and protein expressions in prostate tissue., At baseline and at time of surgery|Measurement of PSA in Serum and Plasma by Nanotechnology, Blood will be collected to measure PSA in serum and plasma by nanotechnology at screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery., At screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery","",Northwestern University,National Cancer Institute (NCI),MALE,"ADULT, OLDER_ADULT",PHASE2,12,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",NCI 09U2|NCI-2010-00941|STU00019487|P50CA090386,2011-02-03,2013-05-09,2013-12-28,2010-05-20,2019-07-02,2019-09-10,"Northwestern University, Chicago, Illinois, 60611, United States",,,,,"",""
Participants will be asked to:,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
Researchers will compare BUFY01 to SVS20 to see if both study treatments provide similar effects on signs and symptoms of the disease,"together with comparable safety.\"",NO,Dry Eye Disease,DEVICE: BUFY01 eye drops in single-dose containers|DEVICE: SVS20 eye drops in single-dose containers,"Signs, Change from baseline in Oxford score (0-15, a higher score meaning a worse outcome), Day 28","Symptoms, Change from baseline in Ocular Surface Disease Index, Day 28","",TRB Chemedica International SA,"",ALL,"ADULT, OLDER_ADULT","",80,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",BUFY01-CT-2101,2024-03,2025-10,2025-10,2023-05-18,,2023-11-24,,,,,"",""
Some teens will be assigned to using the peer support phone app where they will be matched with another teen in this study. They will play a cooperative game with each other,and be able to text and share thoughts,feelings,etc. with each other. This app will hopefully improve teen's self-reported feelings of isolation and loneliness.,"","","","","","","","","","","","","","","","","","",,"",,,,,"",""
"The testing of DNA methylation will be performed with the methylation-specific polymerase chain reaction (PCR). The TCT and HPV testing will be performed with the Roche kits.\"",no,DNA Methylation|Uterine Cervical Cancer|High Grade Squamous Intraepithelial Lesions|Low Grade Squamous Intraepithelial Lesions,DIAGNOSTIC_TEST: DNA methylation|DIAGNOSTIC_TEST: High-risk HPV|DIAGNOSTIC_TEST: TCT,"Sensitivity of DNA methylation, Sensitivity of DNA methylation compared with histological results for the differentiation of cervical cancer and high grade squamous intraepithelial lesions (HSIL), 1 year|Specificity of DNA methylation, Specificity of DNA methylation compared with histological results for the differentiation of cervical cancer and HSIL, 1 year","Positive predictive value of DNA methylation, Positive predictive value of DNA methylation compared with histological results for the differentiation of cervical cancer and HSIL, 1 year|Negative predictive value of DNA methylation, Negative predictive value of DNA methylation compared with histological results for the differentiation of cervical cancer and HSIL, 1 year|Correlation coefficient of DNA methylation with other screening methods, Correlation coefficient of DNA methylation with high-risk HPV and TCT results, 1 year","",Lei Li,"",FEMALE,"ADULT, OLDER_ADULT","",300,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,METHY2,2019-06-01,2020-06-01,2020-06-01,2019-05-23,"",2019-05-24,"Lei Li, Beijing, Beijing, 100730, China",,,,,"",""
This study will include 300 unselected patients with definite histological results. All the cervical specimens of cytology collected in the clinical settings will be utilized for the testing of DNA methylation,high-risk hpv subtypes and thin prep liquid-based cytology test (tct). the sensitivity,specificity,positive predictive value and negative predictive value were calculated based on the known histological results. The differences of DNA methylation with high-risk human papillomavirus (HPV) and TCT will also be analyzed.,"","","","","","","","","","","","","","","","","","",,"",,,,,"",""
